"coefficient","feature"
-1.15292521850038,"_is_Inanimate"
-0.656476255309631,"Salmon, William"
-0.379181042248063,"Crouch, Nathaniel"
-0.141080681571146,"Heylyn, Peter"
0,"Oldmixon, John"
0,"Swinnock, George"
0,"Crowne, John"
0,"Fox, George"
0,"D'Urfey, Thomas"
0,"Burnet, Gilbert"
0,"Davenant, Sir William"
0,"Swift, Jonathan"
0,"Steele, Richard"
0,"Flavell, John"
0,"Prynne, William"
0,"L'Estrange, Roger"
0,"Baxter, Richard"
0,"Behn, Aphra"
0,"Dryden, John"
0,"Boyle, Robert"
0,"Bunyan, John"
0,"Cibber, Colley"
0,"Fuller, Thomas"
0,"Phillips, John"
0,"Milton, John"
0,"Cavendish, Margaret"
0,"Boyle, Roger"
0,"Owen, John"
0,"Sherlock, William"
0,"Stillingfleet, Edward"
0,"Taylor, Jeremy"
0,"Dunton, John"
0,"Whitehead, George"
0,"Dennis, John"
0.188435595606529,"Keach, Benjamin"
0.618747144702035,"Defoe, Daniel"
0.705995367650013,"Harris, John"
0.747613155219982,"Ward, Edward 'Ned'"
0.945064515687755,"_is_Innovative verb"
1.98372725207608,"Penn, William"
2.18151456870986,"Mather, Increase"
2.37460408555703,"Mather, Cotton"
